ID,Date,Trial#,Lever,NextLever,WSLS,LeverZmax,LeverZmin,LeverAUC,HLZmax,HLZmin,HLAUC,Shock
16,230110,47,2,3,4,2.219864003,-0.076227639,98.35256872,0.814047698,-1.769041003,-62.58125223,100
16,230110,48,3,2,1,2.951051798,-2.579055715,60.20385617,1.584746604,-4.091134359,-71.0857403,100
16,230110,49,2,2,4,2.389395625,-1.583877744,31.98096607,0.310702912,-2.055185709,-82.83497132,100
16,230110,50,2,2,4,6.140594127,-1.845004392,148.0402928,3.187229143,-0.34444102,161.2282463,100
16,230110,51,2,2,4,2.661138437,-6.149239152,-111.9075075,2.904973383,1.016597654,203.0761456,100
16,230110,52,2,2,4,1.326327648,-0.960512427,11.80251892,1.722883934,-0.804102094,49.93146839,100
16,230110,53,2,2,4,1.365896633,-1.803962472,-78.7598269,0.622132294,-1.474845199,-32.19529175,100
16,230110,54,2,2,4,-0.199201015,-3.184185551,-181.5083824,2.046920161,-1.381681036,19.38452705,100
16,230110,55,2,2,4,1.121680867,-0.433207525,27.32442773,0.772140973,-0.777128843,-16.16903859,100
16,230110,56,2,2,4,2.482790794,-2.325931263,-26.80148114,1.701284474,-2.445954495,-70.76522939,100
16,230110,57,2,2,4,0.137883268,-2.040747931,-97.93629247,1.755716613,-0.643787816,51.54938475,100
16,230110,58,2,2,4,1.136827534,-0.937369042,-15.93530537,1.38533694,-0.936750467,36.02720816,100
16,230110,59,2,2,4,3.227911454,-2.410745433,55.14130301,-0.170084923,-3.433161396,-178.6500497,100
16,230110,60,2,9,0,3.575847,-2.146081652,-49.74065972,1.404049293,-0.732653831,43.31319204,100
16,230111,1,3,3,1,-0.14026884,-3.560951978,-184.3634998,-0.388681907,-4.245405621,-246.9305935,100
16,230111,2,3,3,1,1.830412636,-1.724542276,-2.206340542,1.489769349,-1.349067222,10.65785437,100
16,230111,3,3,3,1,1.073830032,-1.944705129,-49.35500886,5.473507534,-0.936721721,143.3922169,100
16,230111,4,3,3,1,3.227832536,-0.233474025,142.6960632,1.648652224,-0.863998884,61.82713934,100
16,230111,5,3,3,1,2.701358702,-1.900983734,20.88669872,1.288049282,-1.207668443,-7.873474868,100
16,230111,6,3,3,1,1.295389134,-1.519301901,-44.33798943,2.482859607,-1.713578099,42.41792654,100
16,230111,7,3,3,1,-0.582929216,-2.98098585,-171.9533926,2.822026937,-0.575714583,115.8979041,100
16,230111,8,3,3,1,0.17701683,-3.189208661,-138.7672793,3.448692,-0.852213991,69.98003044,100
16,230111,9,3,3,1,1.054379266,-0.863000533,29.41122253,2.318244654,-0.321022697,120.1367482,100
16,230111,10,3,3,1,-0.118081394,-3.151331443,-170.9826339,1.601861887,-2.643234684,-57.35156966,100
16,230111,11,3,3,1,-0.332648701,-3.169838344,-183.4436989,2.337183339,-1.173845129,60.46559657,100
16,230111,12,3,3,1,4.211996348,-1.686208551,48.87561622,5.150291069,-0.252940682,234.5657005,100
16,230111,13,3,3,1,1.900013142,-2.599093353,13.06784026,2.908476833,-1.137262626,123.9611184,100
16,230111,14,3,3,1,2.050820678,-1.433549045,44.81011132,1.929295916,-1.347918619,43.21660129,100
16,230111,15,3,3,1,0.123002466,-3.38350555,-143.3950143,1.755300108,-0.872511812,41.36395679,100
16,230111,16,3,3,1,1.776726522,-2.009323407,10.61447782,0.898697701,-1.998854078,-26.8934351,100
16,230111,17,3,3,1,0.751938363,-1.664985215,-71.90507714,0.203639127,-1.70417247,-72.19574433,100
16,230111,18,3,3,1,0.831434932,-2.119074266,-101.2427906,1.000609649,-1.467642651,-34.06994249,100
